variant,iter,phi_mean,phi_std
Ours,0,482.12497717340415,6.212351684387416
Ours,1,484.41734041120935,6.565288770641164
Ours,2,486.3400277594822,7.474040206414982
Ours,3,486.9840242960591,8.193009548126412
Ours,4,487.5937347315205,8.967092996530537
Ours,5,487.55093220792406,8.913249145316614
Ours,6,487.55093220792406,8.913249145316614
NoRep,0,342.60460391560173,7.065369062939716
NoRep,1,344.41434177249795,8.134569903088941
NoRep,2,346.431053365498,9.326819055360689
NoRep,3,347.6916058830475,9.665427513582863
NoRep,4,347.75626519609614,9.627462282279984
NoRep,5,347.7578141282288,9.627655402547633
NoRep,6,347.7425405433757,9.625772706007425
NoRep,7,347.7425405433757,9.625772706007425
NoPred,0,443.9308404819304,6.211014932051154
NoPred,1,445.8452399842224,6.657188507618391
NoPred,2,447.5318839283422,6.682778362100821
NoPred,3,449.34098762756213,7.860505174012621
NoPred,4,449.8550700773288,8.302974888231844
NoPred,5,449.8550700773288,8.302974888231844
NoPred,6,449.8550700773288,8.302974888231844
NoCabin,0,465.34359824180586,4.817862432534287
NoCabin,1,467.5292395243121,5.209257152283459
NoCabin,2,469.30568893261625,5.251274112965535
NoCabin,3,469.9793837010496,5.838023766347318
NoCabin,4,470.58429953809633,6.533908195611203
NoCabin,5,470.54149701449995,6.484706286347779
NoCabin,6,470.54149701449995,6.484706286347779
NoSec,0,319.15831050673745,7.416568307818497
NoSec,1,320.2713574165285,7.653577382516345
NoSec,2,321.72737809813475,7.946607641816561
NoSec,3,322.08234330186554,8.443434549087993
NoSec,4,322.3385983970231,8.17502539266599
NoSec,5,322.44606023366816,8.093823866332325
NoSec,6,322.4476091658009,8.092668352738231
NoSec,7,322.4476091658009,8.092668352738231
FlatCCF,0,293.19229898801433,4.084785951178913
FlatCCF,1,293.19229898801433,4.084785951178913
GreedyByLoad,0,511.29119693223447,9.882998588160289
FirstFit,0,353.39401600434365,4.577755450826169
