W,N,seed,variant,phi_total,solve_ms,cross_cabin_ratio,cross_layer_ratio,sla,infeas_rate,phi_rep,phi_load,phi_cab,phi_sec
10,50,0,Ours,115.39754995875332,3.2152077183127403,0.82,0.34,4850.279000255588,0.0,35.68962041736824,35.82852621362115,3.829403327763947,40.050000000000004
10,50,0,NoRep,111.22480055164816,0.7491670548915863,0.86,0.3,2705.1947279244714,0.0,36.15943388893977,33.25675776846578,3.1586088942426347,38.65
10,50,0,NoPred,120.78175199317292,0.6718332879245281,0.26,0.34,4650.8398221379775,0.0,35.62553839728982,41.76878191277618,2.987431683106935,40.4
10,50,0,NoCabin,117.07841173561641,0.6990828551352024,0.86,0.38,6707.346067927894,0.0,35.032525034435764,37.24807005201617,3.3478166491645225,41.45
10,50,0,NoSec,112.25005767149817,0.7048752158880234,0.84,0.36,5030.77199592921,0.0,35.07389200115131,34.9535194812441,3.922646189102776,38.3
10,50,0,FlatCCF,73.62065008211749,0.41112489998340607,1.0,1.0,0.0,0.0,42.149345414779184,19.870824567808935,2.000480099529375,9.599999999999998
10,50,0,GreedyByLoad,128.12531671008026,0.20462507382035255,0.74,0.36,8141.57300586872,0.0,32.714540065707546,44.931049869620395,4.829726774752327,45.65
10,50,0,FirstFit,85.7203587184309,0.3439169377088547,0.86,0.78,655.4622720298046,0.0,40.16068063494755,25.492589901972934,2.0670881815104103,18.0
10,50,0,Random,119.03169469962526,0.2609160728752613,0.8,0.34,5295.759824883558,0.0,34.647106455365524,39.022632228668385,3.9119560155913455,41.45
10,50,1,Ours,107.54280227617855,0.767124816775322,0.74,0.32,3625.6918273717947,0.0,36.76905799882254,35.63149822462475,2.542246052731243,32.6
10,50,1,NoRep,105.01894290786993,0.6852499209344387,0.74,0.3,2463.524271598667,0.0,36.66722234959113,34.60865681963556,2.5430637386432355,31.2
10,50,1,NoPred,108.58389680200756,0.63316710293293,0.26,0.3,2466.073078761583,0.0,37.037004222301434,36.838655536475635,2.1082370432305044,32.6
10,50,1,NoCabin,107.66631486596158,0.6888331845402718,0.78,0.32,3616.2021678131578,0.0,36.72073303766791,35.77107164532438,3.274510182969288,31.9
10,50,1,NoSec,104.13391731293153,0.7182504050433636,0.74,0.3,2715.4186686377916,0.0,36.733529742631994,34.360203951207914,2.1901836190916173,30.849999999999998
10,50,1,FlatCCF,71.32669763408737,0.39999978616833687,1.0,1.0,0.0,0.0,42.65917683509464,19.011362680602286,1.5561581183904392,8.099999999999998
10,50,1,GreedyByLoad,118.49660305021958,0.203792005777359,0.8,0.34,6351.429057597935,0.0,34.48398545251241,42.388231428135505,4.474386169571666,37.150000000000006
10,50,1,FirstFit,81.76209387574809,0.31454116106033325,0.94,0.76,13.14236341377196,0.0,41.11780860284028,23.220116403255282,1.6241688696525358,15.799999999999997
10,50,1,Random,112.38111005798362,0.23262528702616692,0.84,0.26,3333.724450371139,0.0,35.67718204547272,38.56964675469162,2.734281257819293,35.4
10,50,2,Ours,105.6399157924867,0.6955000571906567,0.76,0.36,5746.814324233288,0.0,36.17903629126081,35.50895125031763,3.801928250908244,30.15
10,50,2,NoRep,102.51049248176648,0.6897919811308384,0.78,0.32,3459.1191015451104,0.0,36.242395018968764,32.69440582888003,3.773691633917671,29.8
10,50,2,NoPred,109.37124922292062,0.6456249393522739,0.26,0.36,5403.254960648044,0.0,36.12200101953834,38.95255032052836,4.146697882853919,30.150000000000002
10,50,2,NoCabin,106.15599816580166,0.7005841471254826,0.88,0.36,5732.047037670813,0.0,36.21960946454758,34.56357304792917,5.572815653324906,29.800000000000004
10,50,2,NoSec,104.73588185384145,0.6700842641294003,0.8,0.38,6476.415038225039,0.0,35.45904277976948,35.44443883500603,4.3824002390659365,29.45
10,50,2,FlatCCF,70.04718322340752,0.40287524461746216,1.0,1.0,0.0,0.0,42.39884645036976,18.05682063646487,2.1915161365728806,7.399999999999998
10,50,2,GreedyByLoad,118.58182156722278,0.1982920803129673,0.84,0.38,9960.384148105315,0.0,33.75816315592731,44.795672847908094,7.427985563387364,32.6
10,50,2,FirstFit,89.09782063176056,0.31949998810887337,0.92,0.76,4277.076775413524,0.0,39.74271080859907,29.497579170271287,4.407530652890202,15.450000000000001
10,50,2,Random,120.22484812528945,0.2244589850306511,0.72,0.24,8328.588632244426,0.0,33.202096125648936,43.351874486946805,7.570877512693708,36.1
10,50,3,Ours,115.04002813610532,0.7304162718355656,0.88,0.34,5182.6091521490835,0.0,36.202994718902794,35.801232351602984,2.4358010655995335,40.599999999999994
10,50,3,NoRep,113.54770559731035,0.7193749770522118,0.88,0.32,4031.970685579605,0.0,36.39548891351306,34.684135145391,2.218081538406289,40.24999999999999
10,50,3,NoPred,126.715651534726,0.6581251509487629,0.26,0.38,6572.618694628897,0.0,35.75442218874755,45.71027899780701,1.8509503481714618,43.39999999999999
10,50,3,NoCabin,118.50703907710168,0.6876247934997082,0.9,0.38,6572.432158363117,0.0,35.69978605994118,37.14768639121848,2.609566625941994,43.05
10,50,3,NoSec,114.25317706919671,0.9022499434649944,0.86,0.36,6255.4139602101795,0.0,35.806748484781295,36.081636912227054,2.4647916721883467,39.9
10,50,3,FlatCCF,70.8318615911284,0.3826660104095936,1.0,1.0,0.0,0.0,42.50358249156874,17.028300787527023,1.4999783120326355,9.799999999999997
10,50,3,GreedyByLoad,125.282912454206,0.18654204905033112,0.86,0.34,6521.373709915281,0.0,34.563586511022066,43.08203794167888,3.1872880015050673,44.449999999999996
10,50,3,FirstFit,83.94144842598182,0.31574955210089684,0.88,0.74,12.740224596307172,0.0,40.88283793888377,22.588844307239167,1.5697661798588831,18.899999999999995
10,50,3,Random,128.32394993073422,0.2300422638654709,0.7,0.28,7486.509230363111,0.0,33.76518939862104,45.03830955488118,2.9704509772319865,46.55
10,50,4,Ours,117.69429653979293,0.7195412181317806,0.8,0.36,6926.268667668773,0.0,35.9400758531804,39.66296914044502,3.2912515461675014,38.8
10,50,4,NoRep,116.21970542107067,0.7150000892579556,0.76,0.34,5509.788291811191,0.0,35.630871902991,37.960587513809905,3.12824600426977,39.5
10,50,4,NoPred,127.11347735731523,0.6617079488933086,0.26,0.4,8577.73647844023,0.0,35.78759300226539,47.57344853825241,2.85243581679745,40.89999999999999
10,50,4,NoCabin,118.22376287052457,0.7006670348346233,0.82,0.36,6909.219583789712,0.0,35.819564600582915,39.47150568626868,3.432692583672985,39.5
10,50,4,NoSec,116.5471723401859,0.716084148734808,0.72,0.36,6918.452980722417,0.0,35.23648757814428,39.05805710489878,3.1026276571428353,39.15
10,50,4,FlatCCF,77.23535285209694,0.41125016286969185,1.0,1.0,0.0,0.0,42.3888367258552,23.227408247644856,2.2191078785968825,9.399999999999999
10,50,4,GreedyByLoad,130.8750270173461,0.19837496802210808,0.86,0.34,8779.586630193251,0.0,33.99554368313444,47.393910247453626,4.735573086757997,44.75
10,50,4,FirstFit,92.95088286606729,0.30362512916326523,0.9,0.72,1381.157915599828,0.0,40.36842638079076,30.410678840203335,2.621777645073196,19.55
10,50,4,Random,127.22060454486004,0.21754205226898193,0.76,0.24,6169.102790553874,0.0,34.55144909479219,45.53396858702963,4.485186863038215,42.64999999999999
10,200,0,Ours,473.51176653565153,2.3757079616189003,0.645,0.34,24762.41768141512,0.0,144.5874881525118,164.7247720018794,14.149506381260391,150.04999999999998
