W,N,variant,phi_mean,phi_std,phi_rep_mean,phi_load_mean,phi_cab_mean,phi_sec_mean,solve_ms_mean,cc_mean,cl_mean,sla_mean,infeas_mean
10,50,FirstFit,86.69,3.94,40.45,26.24,2.46,17.54,0.32,0.900,0.752,1267.92,0.000
10,50,FlatCCF,72.61,2.60,42.42,19.44,1.89,8.86,0.40,1.000,1.000,0.00,0.000
10,50,GreedyByLoad,124.27,5.00,33.90,44.52,4.93,40.92,0.20,0.820,0.352,7950.87,0.000
10,50,NoCabin,113.53,5.44,35.90,36.84,3.65,37.14,0.70,0.848,0.360,5907.45,0.000
10,50,NoPred,118.51,8.11,36.07,42.17,2.79,37.49,0.65,0.260,0.356,5534.10,0.000
10,50,NoRep,109.70,5.16,36.22,34.64,2.96,35.88,0.71,0.804,0.316,3633.92,0.000
10,50,NoSec,110.38,5.05,35.66,35.98,3.21,35.53,0.74,0.792,0.352,5479.29,0.000
10,50,Ours,112.26,4.76,36.16,36.49,3.18,36.44,1.23,0.800,0.344,5266.33,0.000
10,50,Random,121.44,5.83,34.37,42.30,4.33,40.43,0.23,0.764,0.272,6122.74,0.000
10,200,FirstFit,332.41,8.37,166.46,98.97,9.49,57.50,1.07,0.974,0.915,6484.66,0.000
10,200,FlatCCF,296.33,5.49,170.24,82.76,6.69,36.64,1.24,1.000,1.000,0.00,0.000
10,200,GreedyByLoad,506.82,11.50,138.04,180.92,19.48,168.38,0.50,0.800,0.351,32772.12,0.000
10,200,NoCabin,466.47,7.92,144.93,154.58,13.99,152.98,2.35,0.815,0.329,22161.74,0.000
10,200,NoPred,485.45,7.95,144.96,173.86,10.78,155.85,2.11,0.240,0.341,24142.84,0.000
10,200,NoRep,456.63,6.41,144.65,150.26,11.68,150.04,2.28,0.717,0.306,17185.14,0.000
10,200,NoSec,455.21,7.85,142.92,153.17,12.23,146.89,2.23,0.713,0.335,22749.58,0.000
10,200,Ours,466.26,7.83,144.97,155.85,12.39,153.05,2.32,0.717,0.331,22462.48,0.000
10,200,Random,464.97,9.66,142.80,156.18,14.27,151.72,0.70,0.786,0.286,15487.88,0.000
10,500,FirstFit,762.60,17.73,420.65,209.26,19.12,113.57,2.64,0.988,0.966,8241.70,0.000
10,500,FlatCCF,720.42,21.96,424.60,189.75,15.52,90.54,2.99,1.000,1.000,0.00,0.000
10,500,GreedyByLoad,1243.48,16.83,342.33,438.39,42.93,419.82,1.03,0.786,0.355,82354.44,0.000
10,500,NoCabin,1133.47,19.99,361.63,361.62,30.93,379.29,5.71,0.805,0.324,53459.47,0.000
10,500,NoPred,1178.68,17.35,361.18,408.20,23.78,385.52,5.02,0.236,0.332,55076.61,0.000
10,500,NoRep,1105.14,17.31,361.16,348.13,25.94,369.91,5.20,0.740,0.295,38368.38,0.000
10,500,NoSec,1102.34,22.90,355.77,357.90,27.36,361.30,5.00,0.723,0.328,54288.90,0.000
10,500,Ours,1129.86,21.72,361.64,362.94,27.74,377.54,5.21,0.734,0.322,52312.49,0.000
